Hospital_ID,State,District,City,Hospital_Rating,District_Avg_Rating,Hospital_Score,Affordability_Score,Suitable_For_Disease,Recommendation
Hospital #355,Gujarat,Ahmedabad,Ahmedabad,4.2,4.27,6.32,9.01,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #356,Gujarat,Ahmedabad,Ahmedabad,4.2,4.27,6.32,9.01,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #357,Gujarat,Ahmedabad,Ahmedabad,3.2,4.27,5.22,8.03,Diabetes Management,Recommended
Hospital #358,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #359,Gujarat,Ahmedabad,Ahmedabad,4.5,4.27,6.65,9.3,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #360,Gujarat,Ahmedabad,Ahmedabad,5,4.27,7.19,9.79,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #361,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #362,Gujarat,Ahmedabad,Ahmedabad,3.8,4.27,5.88,8.62,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #363,Gujarat,Ahmedabad,Ahmedabad,4,4.27,6.1,8.81,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #364,Gujarat,Ahmedabad,Ahmedabad,4.3,4.27,6.43,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #365,Gujarat,Ahmedabad,Ahmedabad,4.9,4.27,7.08,9.69,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #366,Gujarat,Ahmedabad,Ahmedabad,3.2,4.27,5.22,8.03,Diabetes Management,Recommended
Hospital #367,Gujarat,Ahmedabad,Ahmedabad,4,4.27,6.1,8.81,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #368,Gujarat,Ahmedabad,Ahmedabad,4.5,4.27,6.65,9.3,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #369,Gujarat,Ahmedabad,Ahmedabad,4.7,4.27,6.87,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #370,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #371,Gujarat,Ahmedabad,Ahmedabad,4.5,4.27,6.65,9.3,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #372,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #373,Gujarat,Ahmedabad,Ahmedabad,4.6,4.27,6.76,9.4,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #374,Gujarat,Ahmedabad,Ahmedabad,4.7,4.27,6.87,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #375,Gujarat,Ahmedabad,Ahmedabad,4.7,4.27,6.87,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #376,Gujarat,Ahmedabad,Ahmedabad,4.1,4.27,6.21,8.91,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #377,Gujarat,Ahmedabad,Ahmedabad,4.1,4.27,6.21,8.91,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #378,Gujarat,Ahmedabad,Ahmedabad,4.1,4.27,6.21,8.91,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #379,Gujarat,Ahmedabad,Ahmedabad,3.5,4.27,5.55,8.32,"Diabetes Management, Eye Care",Recommended
Hospital #380,Gujarat,Ahmedabad,Ahmedabad,3.7,4.27,5.77,8.52,"Diabetes Management, Eye Care",Recommended
Hospital #381,Gujarat,Ahmedabad,Ahmedabad,4.6,4.27,6.76,9.4,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #382,Gujarat,Ahmedabad,Ahmedabad,4.4,4.27,6.54,9.2,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #383,Gujarat,Ahmedabad,Ahmedabad,3.2,4.27,5.22,8.03,Diabetes Management,Recommended
Hospital #384,Gujarat,Ahmedabad,Ahmedabad,4.5,4.27,6.65,9.3,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #385,Gujarat,Ahmedabad,Ahmedabad,4.1,4.27,6.21,8.91,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #386,Gujarat,Ahmedabad,Ahmedabad,4.9,4.27,7.08,9.69,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #387,Gujarat,Ahmedabad,Ahmedabad,5,4.27,7.19,9.79,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #388,Gujarat,Ahmedabad,Ahmedabad,4.7,4.27,6.87,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #389,Gujarat,Ahmedabad,Ahmedabad,3.1,4.27,5.11,7.93,Diabetes Management,Recommended
Hospital #390,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #391,Gujarat,Ahmedabad,Ahmedabad,4.7,4.27,6.87,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #392,Gujarat,Ahmedabad,Ahmedabad,4.9,4.27,7.08,9.69,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #393,Gujarat,Ahmedabad,Ahmedabad,3.1,4.27,5.11,7.93,Diabetes Management,Recommended
Hospital #394,Gujarat,Ahmedabad,Ahmedabad,5,4.27,7.19,9.79,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Highly Recommended
Hospital #395,Gujarat,Ahmedabad,Ahmedabad,4.8,4.27,6.97,9.59,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #396,Gujarat,Ahmedabad,Ahmedabad,4.1,4.27,6.21,8.91,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #397,Gujarat,Ahmedabad,Ahmedabad,3.9,4.27,5.99,8.71,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #398,Gujarat,Bharuch,Bharuch,4.6,4.6,6.05,9.56,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care",Recommended
Hospital #399,Gujarat,Gandhinagar,Gandhi Nagar,4,4.27,5.37,8.87,"General Medicine, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #400,Gujarat,Gandhinagar,Gandhi Nagar,4.7,4.27,6.14,9.55,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #401,Gujarat,Gandhinagar,Gandhi Nagar,4.1,4.27,5.48,8.97,"General Medicine, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #403,Gujarat,Rajkot,Rajkot,3.2,3.55,4.51,8.18,Diabetes Management,Moderate
Hospital #404,Gujarat,Rajkot,Rajkot,3.9,3.55,5.28,8.87,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #402,Gujarat,Sabarkantha,Himmatnagar,4.6,4.6,6.04,9.54,"General Medicine, Cardiac Care, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care",Recommended
Hospital #405,Gujarat,Surat,Surat,4.1,4.48,5.55,8.89,"General Medicine, Orthopaedics, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #406,Gujarat,Surat,Surat,4.9,4.48,6.42,9.67,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #407,Gujarat,Surat,Surat,4.4,4.48,5.88,9.19,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #408,Gujarat,Surat,Surat,4.8,4.48,6.31,9.58,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #409,Gujarat,Surat,Surat,4.2,4.48,5.66,8.99,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #410,Gujarat,Vadodara,Vadodara,4,4.23,5.57,8.92,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #411,Gujarat,Vadodara,Vadodara,3.8,4.23,5.35,8.72,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #412,Gujarat,Vadodara,Vadodara,3.4,4.23,4.91,8.33,Diabetes Management,Moderate
Hospital #413,Gujarat,Vadodara,Vadodara,4.2,4.23,5.79,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #414,Gujarat,Vadodara,Vadodara,4.8,4.23,6.45,9.7,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #415,Gujarat,Vadodara,Vadodara,4.5,4.23,6.12,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #416,Gujarat,Vadodara,Vadodara,4.2,4.23,5.79,9.11,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #417,Gujarat,Vadodara,Vadodara,2.2,4.23,3.6,7.16,Diabetes Management,Not Recommended
Hospital #418,Gujarat,Vadodara,Vadodara,4,4.23,5.57,8.92,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #419,Gujarat,Vadodara,Vadodara,4.1,4.23,5.68,9.01,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #420,Gujarat,Vadodara,Vadodara,4.4,4.23,6.01,9.31,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #421,Gujarat,Vadodara,Vadodara,4.3,4.23,5.9,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #422,Gujarat,Vadodara,Vadodara,4.3,4.23,5.9,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #423,Gujarat,Vadodara,Vadodara,3.4,4.23,4.91,8.33,Diabetes Management,Moderate
Hospital #424,Gujarat,Vadodara,Vadodara,4.7,4.23,6.34,9.6,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #425,Gujarat,Vadodara,Vadodara,4.6,4.23,6.23,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #426,Gujarat,Vadodara,Vadodara,4.4,4.23,6.01,9.31,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #427,Gujarat,Vadodara,Vadodara,4.1,4.23,5.68,9.01,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #428,Gujarat,Vadodara,Vadodara,4.4,4.23,6.01,9.31,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #429,Gujarat,Vadodara,Vadodara,4.9,4.23,6.56,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #430,Gujarat,Vadodara,Vadodara,4.6,4.23,6.23,9.5,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #431,Gujarat,Vadodara,Vadodara,4.1,4.23,5.68,9.01,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #432,Gujarat,Vadodara,Vadodara,4.5,4.23,6.12,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #433,Gujarat,Vadodara,Vadodara,4.1,4.23,5.68,9.01,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #434,Gujarat,Vadodara,Vadodara,3.8,4.23,5.35,8.72,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #435,Gujarat,Vadodara,Vadodara,4.9,4.23,6.56,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #436,Gujarat,Vadodara,Vadodara,4.8,4.23,6.45,9.7,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #437,Gujarat,Vadodara,Vadodara,4.9,4.23,6.56,9.8,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #438,Gujarat,Valsad,Vapi,3.4,3.4,4.7,8.31,Diabetes Management,Moderate
Hospital #439,Haryana,Ambala,Ambala,4.5,4.1,5.99,9.34,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #440,Haryana,Ambala,Ambala,3.2,4.1,4.56,8.07,Diabetes Management,Moderate
Hospital #441,Haryana,Ambala,Ambala,4.6,4.1,6.1,9.44,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #442,Haryana,Ambala,Ambala,4.3,4.1,5.77,9.15,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #443,Haryana,Ambala,Ambala,3.9,4.1,5.33,8.76,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #444,Haryana,Ambala,Ambala,3.9,4.1,5.33,8.76,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #445,Haryana,Ambala,Ambala,4.2,4.1,5.66,9.05,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #446,Haryana,Ambala,Ambala,4.7,4.1,6.21,9.54,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #447,Haryana,Ambala,Ambala,4.3,4.1,5.77,9.15,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #448,Haryana,Ambala,Ambala,2.9,4.1,4.23,7.78,Diabetes Management,Moderate
Hospital #449,Haryana,Ambala,Ambala,4.3,4.1,5.77,9.15,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #450,Haryana,Ambala,Ambala,3.8,4.1,5.22,8.66,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #451,Haryana,Ambala,Ambala,4.7,4.1,6.21,9.54,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #454,Haryana,Faridabad,Faridabad,4.6,4.02,6.18,9.05,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #455,Haryana,Faridabad,Faridabad,3.2,4.02,4.64,7.68,Diabetes Management,Moderate
Hospital #456,Haryana,Faridabad,Faridabad,4.3,4.02,5.85,8.76,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #457,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #458,Haryana,Faridabad,Faridabad,4.5,4.02,6.07,8.95,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #459,Haryana,Faridabad,Faridabad,3.5,4.02,4.97,7.98,"Diabetes Management, Eye Care",Moderate
Hospital #460,Haryana,Faridabad,Faridabad,3.3,4.02,4.75,7.78,Diabetes Management,Moderate
Hospital #461,Haryana,Faridabad,Faridabad,4.7,4.02,6.29,9.15,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #462,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #463,Haryana,Faridabad,Faridabad,4.2,4.02,5.74,8.66,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #464,Haryana,Faridabad,Faridabad,3.8,4.02,5.3,8.27,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #465,Haryana,Faridabad,Faridabad,3.3,4.02,4.75,7.78,Diabetes Management,Moderate
Hospital #466,Haryana,Faridabad,Faridabad,4.8,4.02,6.4,9.24,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #467,Haryana,Faridabad,Faridabad,3.4,4.02,4.86,7.88,Diabetes Management,Moderate
Hospital #468,Haryana,Faridabad,Faridabad,4.6,4.02,6.18,9.05,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #469,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #470,Haryana,Faridabad,Faridabad,3.6,4.02,5.08,8.07,"Diabetes Management, Eye Care",Recommended
Hospital #471,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #472,Haryana,Faridabad,Faridabad,4,4.02,5.52,8.46,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #473,Haryana,Faridabad,Faridabad,3.5,4.02,4.97,7.98,"Diabetes Management, Eye Care",Moderate
Hospital #474,Haryana,Faridabad,Faridabad,3.4,4.02,4.86,7.88,Diabetes Management,Moderate
Hospital #475,Haryana,Faridabad,Faridabad,4.3,4.02,5.85,8.76,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #476,Haryana,Faridabad,Faridabad,5,4.02,6.62,9.44,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #477,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #478,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #479,Haryana,Faridabad,Faridabad,3.9,4.02,5.41,8.37,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #480,Haryana,Faridabad,Faridabad,4.8,4.02,6.4,9.24,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #481,Haryana,Faridabad,Faridabad,3.4,4.02,4.86,7.88,Diabetes Management,Moderate
Hospital #482,Haryana,Faridabad,Faridabad,4.6,4.02,6.18,9.05,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #483,Haryana,Faridabad,Faridabad,4.6,4.02,6.18,9.05,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #484,Haryana,Faridabad,Faridabad,3.9,4.02,5.41,8.37,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #485,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #486,Haryana,Faridabad,Faridabad,3.8,4.02,5.3,8.27,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #487,Haryana,Faridabad,Faridabad,3.8,4.02,5.3,8.27,"Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #488,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #489,Haryana,Faridabad,Faridabad,4.1,4.02,5.63,8.56,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #490,Haryana,Faridabad,Faridabad,3.1,4.02,4.53,7.59,Diabetes Management,Moderate
Hospital #491,Haryana,Fatehabad,Fatehabad,4.2,4.2,5.59,9.14,"General Medicine, Cardiac Care, Maternity & Child Health, Diabetes Management, Eye Care",Recommended
Hospital #492,Haryana,Gurugram,Gurgaon,4.5,4.02,6.05,9.21,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #493,Haryana,Gurugram,Gurgaon,4.7,4.02,6.27,9.41,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #494,Haryana,Gurugram,Gurgaon,3.4,4.02,4.84,8.14,Diabetes Management,Moderate
Hospital #495,Haryana,Gurugram,Gurgaon,3.5,4.02,4.95,8.24,"Diabetes Management, Eye Care",Moderate
Hospital #496,Haryana,Gurugram,Gurgaon,3.6,4.02,5.06,8.34,"Diabetes Management, Eye Care",Recommended
Hospital #497,Haryana,Gurugram,Gurgaon,4.1,4.02,5.61,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #498,Haryana,Gurugram,Gurgaon,4.2,4.02,5.72,8.92,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #499,Haryana,Gurugram,Gurgaon,4.8,4.02,6.38,9.51,"General Medicine, Cardiac Care, Orthopaedics, Maternity & Child Health, Cancer Treatment, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
Hospital #500,Haryana,Gurugram,Gurgaon,3.1,4.02,4.51,7.85,Diabetes Management,Moderate
Hospital #501,Haryana,Gurugram,Gurgaon,4.1,4.02,5.61,8.82,"General Medicine, Orthopaedics, Maternity & Child Health, Neurology, Diabetes Management, Eye Care, Kidney Disease",Recommended
